date,subtotal,tax,total,currency_code,payment.type,bill_to.name,vendor.type,vendor.name,vendor.address,vendor.logo,img_file_name,img_thumbnail_url,img_url,pdf_url
2021-09-17 00:00:00,1.16,52.25,1.16,EUR,visa,Alice McCarthy,Catering,HARIBO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-09-18 00:00:00,1.16,52.25,1.16,EUR,master_card,Brosina Hoffman,sportswear,GEOGRAPHICAL NORWAY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-10-02 00:00:00,1.16,52.25,1.16,EUR,master_card,Brosina Hoffman,sportswear,GEOGRAPHICAL NORWAY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-09-23 00:00:00,1.16,52.25,1.16,EUR,cash,Cyma Kinney,footwear,CONVERSE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-09-08 00:00:00,1.16,52.25,1.16,EUR,visa,Darrin Martin,mixed clothing,MARINA MILITARE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-09-19 00:00:00,1.16,52.25,1.16,EUR,visa,Erica Hackney,women's underwear,VANITY FAIR,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-09-09 00:00:00,1.16,52.25,1.16,EUR,visa,Erica Hernandez,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-09-10 00:00:00,1.16,52.25,1.16,EUR,master_card,Fred Hopkins,Catering,HARIBO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-09-11 00:00:00,1.16,52.25,1.16,EUR,master_card,Fred Hopkins,Catering,HARIBO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-09-28 00:00:00,1.16,52.25,1.16,EUR,master_card,Fred Hopkins,Catering,HARIBO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-09-25 00:00:00,1.16,52.25,1.16,EUR,master_card,Fred Hopkins,footwear,DUUO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
